title,desc
100个赞就从微软离职！你敢赞，我敢走！,"国庆之后第一天上班好无聊，想辞职了，集齐100个赞就离职！！！
	
毕业之后来微软当码农👨‍💻也有四年了，95后P7+
，做AI软件相关开发，头两年对一切都很新奇，现在只觉得每天是在搬砖，每一天都好无聊啊🥱，要不来100个赞，俺直接跑路！"
今天是程序员节🧑‍💻,穿上我心爱的格子衫
左滑还原程序员的刻板印象,"上班是潦草李工
下班是哇噻小哥"
♥两个程序员的日常♥,"嗯…
秃头是会传染的吧…
🥰
@小小黄"
公司从大厂挖来的程序员，听说月薪45K，连老板都忌惮三分，今天一不小心看到他的操作，这谁顶得住?,公司从大厂挖来的程序员，听说月薪45K，连老板都忌惮三分，今天一不小心看到他的操作，这谁顶得住?
程序员和设计师的区别,别的不说，女装这块，属实拿捏。曾经在github上有个开源项目，Dress，好家伙，全是女装大佬的照片，绝对刷新对程序员的刻板印象！[doge]
满足你对黑客的一切幻想！,﻿
萝卜快跑工程师长什么样,p2我的周一精神状态
不想当程序员了，想去当模特可以吗,"但其实吃饭的专业和热爱的行业都不想放弃
所以加倍努力吧!
ps:多睡觉多睡觉小宝们，不然真的会长黑眼圈TvT"
程序员笑话,看着看着就笑不出来了[哭惹R]
左滑一下少一件,
兜兜转转又穿回程序员格子衫,
北京时间8月19日下午两点被确诊,"领导在群里这么说 然而身为三无二本的我还在群里
大龄女程序媛没有春天"
当程序员减重30斤并学会打扮后,每个人都是潜力股
只有程序员才懂的梗,"我最开始写这段代码的时候，只有我和上帝知道这段代码是什么意思。
过了一周之后，只有上帝知道了。"
幸好当年没转码,"幸好当年没转码，横空冲出来一个ChatGPT，刚开始还说代替不了人类，最近越来越猖狂。
很多大厂都开始节流，其中一个重点环节就是降低招收NG，入门级码农基本没有存在的必要了...
表妹三年前入读NYU，借鉴了我这个“艺术生”的生活状态，硬着头皮读了自己不喜欢的CS，就是为了图毕业好找工作。结果读一半出个ChatGPT，现在看着学长学姐一个个找不到工作或被裁，她开始提前进入“中年危机”了。
	
老有人问我为什么学电影这么不practical的专业。
现在看来，虽然也挺坑，但至少读了自己喜欢的东西，不枉青春一场。
世界变得太快，谁真能掌握明天的成功密码？自己先爽了算吧。
处处算进到头落空，不是比摆烂等船直更让人心塞么？
	
现在拿CPT顺手读读MS IT，虽然也不能变成coder或真的IT人，至多是算加个加个技能buff。
但恰恰是因为不指望靠它就业，反倒学起来没那么心烦。"
程序员的刻板印象/最近喜欢的饰品APM,"萌新程序员在线聊天[doge]
顺便分享下最近喜欢的饰品APM Monaco。最近偏爱酷酷的街头风和不被定义的中性感，手工编织的红绳不羁又自由，坚硬的锆石缜密又理性。日常穿搭之余配上颈绳，为日常生活添加一丝艺术气息"
感觉程序员这个行业跟做🐔一模一样,"高薪青春饭，35岁落得一身病
要么自己干不下去灰头土脸滚蛋
要么混到上边管理层继续当老鸨
没时间搞社交，一点实权都没有，社会地位约等于0，亲戚朋友除了借钱也不会高看你一眼
所以花这么多年拿了个学历，不如少走十年弯路，直接出来卖"
程序员：代码能跑就不要动,
程序员秒懂的地狱笑话,
程序员日常 | 程序员为什么不能一次性写,"真是一行写功能，十行防“刁民”呀
﻿"
原本要给我们组的一个34岁的大龄程序员降薪,"原本要给我们组的一个34岁的大龄程序员降薪50%,结果听说他刚离婚，被老婆绿了，两个孩子也不是他的。
看到他突然变得毫无软肋，想着还要再压榨他一年，不能一下给他干垮了。然后就把矛头转向了另一个31岁刚结婚准备要小孩的员工。"
看程序员梗图真的会笑亖在电脑前！,万能的评论区，球球多来点程序员梗图吧，简直承包我一整年的笑料[笑哭R][笑哭R][笑哭R]
一千人赞过的程序员上下班对比竟然被删了,"昨天心血来潮在一个左滑帮我下班的帖子里评论了我上下班的对比照，意外被赞爆了哈哈哈哈但是竟然被🍠删掉了🥲🥲🥲咱这正常常照片无不良引导别删我呀🥲🥲🥲
	
好多人在评论下回复说不像是一个人，前后差二十斤，方圆脸变尖脸之类的。咱就是说这就是水肿+高度近视戴眼镜+小方脸的素颜日常呀…
	
大学时候有个男生朋友认识我一年多还没记住我的脸，每次见我都问我为啥你长得不一样，其实我可能只是画了个妆…从那儿之后咱就是以日抛脸出名了…
	
包括上班以后也是，平时在公司都带眼镜，有一天早起健身去公司也戴着隐形，然后我坐在沙发上上班，被隔壁组一个男同事拉着我们组小姐姐问，你是谁？那个组的new hire？坐在这附近吗？我是xxx，我们组小姐姐看着我沉默了二十秒，默默的说，这好像是Iris… 然后这个离谱事情就这么传开了…
	
谁懂咱们水肿肉脸的心酸日常🥹"
一小时赚1600，转码依然是出路,"在互联网行业面临各种质疑的今天，许多人对转型编程持怀疑态度，甚至有人将其戏称为“49年转国军”🤔。尽管如此，依然有很多小伙伴怀着期待在观望👀。那作为一名拥有多年编程开发经验以及副业经历的程序员，我想结合最近的一些感悟，和大家聊一下，另类的转码理由。
	
前几天，在某鱼平台上我接了两个小项目：一个是APP开发修改（图2），收入1000元💰；另一个是技术咨询（图3），收入600元💰。两个项目都是简单的小项目，加起来不到一小时就完成了，但在转码这个话题下，却让我感触挺深的。
	
[一R]作为副业老油条的我，某鱼早已不是我的主要副业渠道，几乎不再投入时间和精力，但每天仍有大量客户主动联系我。没有积极的宣传和营销，客户依旧络绎不绝。这恰恰说明了整个行业的需求仍然旺盛，即使经济总体走低，互联网行业的衰退速度也相对较慢，依然是良好的职业选择。
	
[二R]这两个项目，客户分别来自北京和美国，而作为乙方的我是在杭州进行远程开发和沟通的。这种不拘泥于任何地点任何形式，可以随时随地进行副业工作，客户也不仅仅限于本地，可能囊括国内，甚至海外，凸显了互联网行业的独特优势：远程工作模式。
	
[三R]在某鱼上发布的副业信息，无任何成本，只需要发布自己擅长的技能就好。副业的成本极低，几乎不需要任何投资，这在其他行业中是无法想象的。
	
所以，如果从副业的角度来看，程序员无疑是其中的佼佼者，这也是我为大家提供的一个另类转码理由：从副业开始，兼职转码。大家犹豫不决的原因有很多，但我想大部分人都是因为担心失去现有工作的同时，又无法适应新职业。所以我们不妨兼职转码，先从副业开始，积累经验，等待合适的时机，再考虑全职转码。另外编程本身就是可以在互联网上学习的技术，只要我们在自己工作之余，下班以后去坚持学习，自学成才绝非难事📚。
	
这两年确实很难，但互联网行业依然是最具吸引力的前三大行业之一，无论是薪资待遇还是岗位需求。对于那些想要拓宽视野的人来说，转型编程是一条理想的道路。对于那些不喜欢复杂人际关系的人来说，程序员的生活相对简单，通常是“三点一线”的生活方式🏠。
	
另外，唱衰互联网的声音，主要来自两种人：一是行业内的人，担心新人的加入导致竞争加剧；二是渴望加入却无法找到途径的人。你属于哪一种呢？或者两者都不是？
所以，热爱就去追求吧！不要留有遗憾。人生短暂，为何不选择做一些酷炫的事情，比如编码"
你还是不懂白皮码农的杀伤力,游泳健身，程序员的去“油”剂
笑不活了，这下给汤婆婆干异常了,这是什么吊程序员笑话？！
不想打击计算机专业的女生，但是我想说....,"目前在某大厂工作，入行7年的计算机老人，做java开发工程师，早九晚六
	
同样作为女生，我想对计算机转业的女生说的一些话
这篇就是我的建议，大家可以听一听
	
👉具体的放在上文了"
学计算机拼的不是谁更努力...,"学计算机真的不是拼的谁更努力，而是谁能更分清楚主次，太老实真的会很累...
.
一、过来人建议：
1.如果学校一般，家庭条件也一般，参加学校社团活动一定要适可而止。一方面做技术时用不到相关经历，公司也不会在意这些，另一方面，家境一般意味着以后大概率吃技术饭，社团活动相关技能在工作后用不到。
2.重要的几门专业基础课一定好好学，如数据结构、组成原理、操作系统、数据库原理等。
3.学好外语，尤其是英语。很多官方文档都是英文的，很多bug也是英文。
4.至少把C/C++/Java学好一门，其他的语言等要用了再学，不是事。语言不是越新越好。
5.数据库至少掌握一个，能写好sql语句至少能解决温饱。
6.如果打算是毕业后直接找工作，尽量在大三时去实习，或者尽量多去参加招聘会，这样能直接感受到找工作需要哪些技能。不过还是这句话，如果可以尽量考研。
7.学会写技术笔记，愿意的话花个0.5-2个小时学一下markdown。有几百元钱的话，买个阿里云之类的云服务器，在上面折腾，至少把Linux玩一下。
8.别沉迷于游戏，那玩意就是数据库里的值。消遣一下可以，沉迷是傻子。
.
二、宝藏网站
✔️HitHub：最大的程序员托管代码平台，很多开发者都会在上面寻找开源项目学习
✔️Leetcode：里面收集了很多常见的程序员面试编程题目，是许多IT求职人刷题爱逛的网站
✔️CodinGame：可以以玩游戏的方式通过在线编程完成相应的挑战非常解压
✔️Coursera：是大型学习课程网站，里面很多课程都适合自学部分课程有中文字幕可看
✔️Topcoder：是数据挖掘和机器学习的在线竞技网站，可以尝试去挑战一下自己
.
三、计算机语言老师
✔️Java：韩顺平老师
✔️Python：北大陈斌老师
✔️C++： 侯捷老师
✔️C语言：翁凯老师
.
四、好用的书籍
✔️C++：《C++ Primer》中文版
✔️C语言：《C Primer Plus》中文版
✔️Python：《Python编程，从入门到实践》
✔️Java：《Head First Java》
.
五、编程语言&工具
✔️Java编程工具：下载IntelliJ IDEA工具进行编程
✔️C++编程工具：Xcode（Mac）、Visual Studio Code
✔️Python编程工具：Pycharm
·"
哈哈哈哈哈哈哈哈哈哈是我了,[笑哭R]今天室友给我发了几个搞笑图，不得不说，程序员梗图对于一个计算机小白，实在是太🈶乐了[笑哭R]
这家饭店的老板是程序员吗,"懂得用空间换时间
降低了顾客CPU计算的复杂度"
谁懂，这些程序员梗图看着看着就哭了……,"可以说是经典咏流传了……[猪头R]
哪张程序员梗图狠狠创到你了？[暗中观察R]"
你写过最蠢的代码是？记得每天开心一下！,"生活太不容易啦！如果生活的压力让你不开心的话！希望我能让你开心一下！
	
记得点赞关注哦！你们的支持就是我的最大动力！
	
你写过的最蠢的代码是？"
外行人眼中的程序员，其实我是这样的程序员,"外行人以为我是这样的程序员，代码码的超级快
其实我是……"
地铁看到一个小学生用c++刷leetcode,卷，太卷
这是一位热爱编程的程序员吧,朋友圈看到的，这也太热爱编程了吧[赞R]
为什么程序员不拿自己写的程序去卖而要上班,"在中国 能一个人完成 前端开发，后端开发，数据分析，dba，运维，测试，产品，售前的我月薪8k。
一个接口都写10天的我，月薪25k
写几个微小服务，写不了大服务的我月薪30k
只能写写sql的sqlboy 39k
只会flink 这单一技术 45k
你还需要啥我都学，以及再选学销售 然后去卖自己的软件？获得一个不确定性收益？
不不不。
每个月固定几万块到手，社保公积金有人缴纳，想要干掉我，得赔钱，否则我就去跳楼威胁。
别跟我谈什么雄途大志，我就要这低风险三瓜两枣。
这点钱虽然听起来少，这10多年来已经买了4套房了。
在你看来死工资意味着低暴击攻击力低，low逼。
在我看来死工资意味着高白值万精油不依赖配队不依赖辅助不挑怪物类型，牛逼。"
她来了，她来改bug了,
程序员出国前和出国后，半年就祛魅了,"钱多，税也多
最重要的是生命安全，他们毒品也是不禁的，随便碰上一样这辈子就完了吧。"
每天晨读代码为什么会被同门嘲笑,有时候真觉得跟他们格格不入，晨读代码有什么错！😋
大专女生和985程序员，终于还是走到这一天,"跟男朋友在一起已经快一年半了，因为大专和本硕985的学历差距太大，地域距离太远，且男方年下读研还没毕业的种种原因，经历了身边亲戚朋友的一致打击不看好，现在终于熬到男朋友毕业秋招，马上就要见家长啦。
我们俩时常感叹能够遇见彼此有多幸运，真的特别庆幸+无比感谢当初媒人的介绍。最近男朋友也顺利收到了BAT大厂寄回的三方，买了去我家的机票，准备年前来我家拜访，他准备的礼品也都提前寄给了我。
在这段感情里我更成熟，也更理性，也正是因为所谓的“理性”在这一年半的时间里内心无比纠结过，也做过蠢事伤害了对方，前期因为我太工作狂导致没有任何精力可以分给男朋友，每天晚上就开视频他默默的看着我加班工作，也没空跟他聊天。他有表示过觉得我太冷漠也不粘人，但也一直陪伴我度过了职业低谷。
年前他来我家，年后我去他家，幸好所有的等待都是值得的，幸好我们坚持到了现在！现在就经常开玩笑让他给我这凄风苦雨的老女朋友养老[暗中观察R]期待男朋友入职大厂以后的生活！"
🇯🇵男朋友 算是程序员里的帅哥吗？,"抱歉标题党了哈哈，（有点自恋地说）我觉得算哈哈，而且我觉得三谷是我眼中最可爱的程序员[大笑R]
所以他每次在家工作的时候都忍不住拍下来。他真的好阔爱！
	
而且这个时候拍他比平常让他正经拍照更好看，难怪大家都说“工作中的男人最帅”。[萌萌哒R]"
半框眼镜是码农的____,💤💤💤
中日美码农的几种GitHub头像,"就是大概这么个感觉，完全没有根据，纯属虚构[扯脸H]
(注释)
SI: System Integration 系统集成
SE: System Engineer 系统工程师"
只有程序猿一眼懂的梗图，😂笑出猪叫声❗,"程序员的口号：
[点赞R]这代码刚刚稳如狗，现在莫名其妙嗨起来了?
[点赞R]“写代码就像和电脑玩‘你画我猜’，
我画的是‘Hello World’，
它给我整出个‘Hello Universe’，
这跨界跨得也太远了吧？
[举手R]记忆力简直是个谜，昨天才写的代码，今天就问，这是啥玩意，我啥时候写了……"
男朋友凌晨一点突然…,"男朋友凌晨一点突然：我想到代码bug在哪了
日常九点多下班后继续在家干活，干到晚上快十二点才睡觉，然后凌晨一点垂死病中惊坐起：我想到bug在哪了！立马爬起来改代码[黑薯问号R][黑薯问号R][黑薯问号R]
🤦程序员压力还是蛮大的"
我的程序员男友,"哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死我了哈哈哈哈哈哈哈我笑死了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
加了个后续：今天上班睡觉但写了六千行代码"
1024程序员节快乐咯,
清华硕士，程序员，被裁了！,"最近部门裁员很厉害，坐我前面的top2硕士被裁了，他是和我们经常合作研发。
被裁的也有31岁的产品经理，在深圳买了房。
还有个几乎每天加班到晚上12点，在同事口碑很好的研发也被毕业了，有点意想不到。
都给了n+1+1，有一个月缓冲时间，可以活水或离职。
侥幸躲过裁员，上班却上得有点茫然恍惚，对自己的未来有点不知所措了"
程序员为什么不能一次性写好,嘿哟，兄弟！你想想看，做设计那可真是一行写功能，十行防“刁民”呀，这难度简直跟登天似的，咱做设计的可太有体会了，这技能那叫一个艰难实属不易。来来来，快瞧瞧你这台老古董电脑，是不是该让它下岗啦？你看这码字都磕磕绊绊的，怪不得程序也总是写不好呢。听我的，赶紧去转转二手平台逛逛去。你不是心心念念那联想拯救者 Y7000P2024 好久了嘛，在转转上只需8.2K多就能拿下哟！跟新品比，能省下1.2K大洋呢。而且呀，最关键的是还有一年质保期，这可太让人放心啦。你要是有了它，那生活品质不得蹭蹭往上涨好几个度哇！用户体验会直线飙升。省下来的钱还能买个超酷的耳机，上班的时候你就可以安心码字工作，空闲了呢，又能尽情玩游戏，这生活，美翻了都。程序写起来那叫一个又快又顺心，再也不用担心延误工期啦，肯定能完美交差。这样晚上不加班的时候，我就能约你一起开黑，简直不要太爽……
真不是打击计算机的小朋友，但是我真想说…,"作为有着五年多从业经验的老码农，如今转行成为量化分析师的我，来分享一下那些年走过的路，希望能为大家遮风挡雨！以下内容没有废话，赶紧收藏，期望能为你的学业发展奠定基础！实习至关重要！一个大厂实习能够在很大程度上弥补学历的不足，大二大三的时候就可以着手寻找了。
📌积极刷题，刷 LeetCode！无论是去大厂还是外企，算法必考。面试的时候，如果算法题没做出来，大概率就没戏了。
📌计算机基础涵盖操作系统、计算机网络、数据库。虽然计算机组成原理也很重要，但面试基本不考，把重点放在上述三门课上。
📒比赛
📌例如：ACM、蓝桥杯、阿里天池、数学建模。其中最重要的当属 ACM，想进大厂的同学大一就要开始准备 ACM 竞赛！
📒英语
📌大部分官方文档都是英文的，很多 BUG 的解决方法也是英文的。英语虽不是主攻方向，但辅助作用非常强大。
📒Github
📌如果你会使用 Github，那你就领先很多了！上面有海量的代码。国内访问 Github 不稳定，可以用国内平台 Gitee 作为替代。
📒八股文
📌面试的基础知识就是八股文。牛客上的面经也很重要，基本都是超高频考点。
📒考证书
📌学会考证提升自己。基础薄弱的可以先拿下中级系统集成项目管理工程师，跟着黑舟快马班学习课程，结合大量练习拿证更稳。我自己在转行前考了 CQF，补充了很多金融和数学知识，为我原本的工作履历开辟了新的局面。
📌Python
📌接私活的必备技能。在短时间内就能看到效果，还可以快速开发小游戏、做爬虫分析。CQF 的实操部分需要掌握 Python，对于码农来说你们是天生的量化人才。
📌C 语言
📌语言是编程之本，是学习编程语言的第一课！建议通过视频、看书、刷题或做项目的方式来学习。书籍推荐《C 语言程序设计现代方法》或者《C Primer plus 第 6 版》。
📌学会逛 Github、StackoverFlow 等技术论坛。抽出一上午的时间学习 markdown 语法，这是程序员写文档的必备技能，比 word 好用太多了。
📌尝试使用 Linux
📌可以在自己的电脑上安装双系统，想省事的话，直接在阿里云上买个学生服务器。平时我们接触最多的是 windows，但程序员开发时接触最多的是 Linux，很多项目网站都要部署在线上 Linux 服务器上。用过 Linux 你就会发现它简单、好用、快捷、省事，真香！"
程序员的破防瞬间🙃🙃,
大学牲码农👩‍💻,自己选的路哭着也要走完😭🫡
湾区 | 00后meta程序员入职两个月plog,"不知不觉入职两个月啦[耶R]
上班时间真的过得好快啊！
[得意R]在大门口拍照了
Vr拿了
工作证拍了
Campus自行车骑了
甜点吃了（每天一个冰淇淋.... [得意R]）
	
还发了十几个diff[捂脸R]虽然每天很累但是真的觉得好充实，发现自己其实真的很喜欢这份工作！鳗鱼继续加油啊啊啊
	
最近看到好多24 25届的在找工作！祝大家都在秋招找到心仪的工作！！[赞R]
	
有需要refer的也可以找我 会尽最大努力帮忙的！"
辅导员说计算机差的学生都有一个通病...,"📌动不动就被身边的环境或者人影响，然后好几天学不下去，做一条咸鱼。
·
📌搜集信息能力差
只学课本上的，不逛论坛技术网站。在课堂上能学到的少之甚少，所以需要打破信息差，去各种技术论坛或者网站进行学习补充。（以下这些用起来）
Leetcode：是程序员求职找工作必备
菜鸟教程：多种基础编程机术的教程
Stack Overflow：与程序相关的IT机术问答王站
Coursera：可以免费听世界名校例如哈佛等的CS课程
W3Schools：为初学者Web开发人员编程所建，涵盖了当前主流编程语言
HackerRank：程序员参与各种编程语言竞赛并检测自我能理的王站
GitHub：世界上最大的代码托管平台
.
📌动手能力差
计算机专业是个实践性很强的专业，如果只听不动手写代码，那么很难掌握好。动手实践是检验你是否真正掌握一门技术的唯一途径，理论再好，等你真正开始动手实践的时候就会发现还有很多意料之外的问题。
·
📌规划能力差
大学四年没做好规划.浑浑噩噩的度过了：读研或找工作或其他安排，都要提前想好，以其为目标，四年都向此努力。
·
📌不坚持
遇到不会就轻易放弃：遇到不会就绕开，慢慢地就会积累很多的知识盲区，其实每次遇到不会的知识应该要去挑战，这样才能够进步更快。
·
📌不参加比赛
像""程序设计大赛""、""数学建模大赛""、""创新创业大赛""都是经典的大学生比赛，多参加，多获奖，对找工作和读研都有用处。
·
📌不好好学习英语
虽然学习编程，跟英语好不好没有关系。但是很多官方文档都是英文的，学习资料也是英文的，很多 BUG 的解决方法也是英文的。英语不是主攻，但是辅助效果超群。
·
📌不重视基础
很多人觉得数据结构算法、计算机网络等课程这些学了好像对编程没什么作用，但其实它们会在后面面试或工作上慢慢体现重要性，可以决定你的天花板有多高。
～～～～～～
🖍写在最后
人生没有重来的机会，过去也无法选择，但是未来怎么样是当下的自己才能决定的，所以，从现在开始好好努力吧。"
实际上的程序员其实都是这样的😭……,"别人以为的程序员：kua~kua~kua~很快敲出一段代码
实际上：嘶~不应该啊😦这到底错在哪了？怎么又不行了…"
"组里新招了个女Java,男的都按耐不住了","团队里周五刚来了新人，女Java，美丽清纯。
一群男的都围过来帮忙又是弄电脑🖥️又是装支架的，工作都不干了。
这行女研发真吃香啊[哇R]"
我是程序员，请攻击我最薄弱的地方,
周末，雨天，居家，,周六玩够了，周天就得好好干活了。恰好下雨，特别适合写代码！开写，小率飙升的一天
新手小白与即将下岗前端35岁程序员,
程序员最大的悲哀是什么？,
接外包要慎重，太凶险了,去年10月份联系过的项目，当时一方面没时间，一方面觉得有点悬，就没接，这两天就看见了这个，有种逃过一劫的感觉，做个人开发的第5年，也是第一次遇到这种情况
看不懂这些梗图，都不好意思说自己是程序员,"高端的程序员
往往采用最朴素的编程方式
Ctrl C+Ctrl V"
中国最难入职的IT公司,
程序员是对颜值要求最高的,"朋友相亲回来说：男程序员只喜欢美女和身材好的美女
哈哈哈哈哈哈哈………………"
